word,chinese_learner_error,error_type,correction,ai_recognition_notes,evidence_tag
enforcement,consonant cluster simplification (Part IV Ch.1 Mistake 4),"vowel, consonant",drill the rhotic vowel and final cluster separately,"high frequency in the fixed phrase ""law enforcement""",Hypothesis
regulation,"diphthong monophthongization; equal stress (Part IV Ch.5 Mistake 2, Ch.2 Mistake 1)","vowel, stress",say regulate and regulation in sequence to feel the stress shift,very high frequency in policy/business-topic Read Aloud/Essay content,Hypothesis
regulate,not a heavily documented Part IV pattern; the /gj/ glide is worth explicit attention,consonant,drill the /gj/ glide before the full word,compare with regulation to see the -tion stress shift,Hypothesis
authority,θ→s substitution (Part IV Ch.1 Mistake 1),"consonant, vowel","drill /θ/ tongue-between-teeth explicitly, then the rhotic vowel",very high frequency in policy/legal-topic content,Hypothesis
election,another -tion rule data point,stress,"confirm stress falls immediately before ""-tion""",very high frequency in politics-topic Read Aloud/Essay content,Hypothesis
candidate,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill ""-nd-"" as a continuous sequence",very high frequency in politics/employment-topic content,Hypothesis
campaign,diphthong monophthongization (Part IV Ch.5 Mistake 2),vowel,exaggerate the /eɪ/ glide before natural-speed shadowing,very high frequency in politics/marketing-topic content,Hypothesis
democracy,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,say democracy and democratic in sequence to feel the stress shift,compare with democratic — another -ic family shift pair,Hypothesis
democratic,"consonant cluster simplification; wrong-syllable stress if -ic shift not applied (Part IV Ch.1 Mistake 4, Ch.2 Mistake 3)","consonant, stress","drill alongside democracy, exaggerating the stress-shift contrast",second concrete -ic family shift pair in this lexicon,Hypothesis
citizen,"z→s devoicing risk (same flagged extension as reasonable, Batch 4)",consonant,drill /z/ against /s/ explicitly,"compare with citizenship — -ship is stress-neutral, unlike every suffix tracked so far",Hypothesis
citizenship,z→s devoicing risk; consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill alongside citizen, confirming the stress does not move","unlike -tion/-ic/-ity/-ical/-ial/-ee/-eer, the -ship suffix does not attract or shift stress",Hypothesis
constitution,"consonant cluster simplification; equal stress (Part IV Ch.1 Mistake 4, Ch.2 Mistake 1)","consonant, stress","break into syllable groups; confirm stress falls immediately before ""-tion""",high frequency in politics/government-topic Read Aloud content,Hypothesis
parliament,consonant cluster simplification (Part IV Ch.1 Mistake 4),"vowel, consonant",drill the rhotic vowel and final cluster separately,moderately high frequency in politics-topic Read Aloud content,Hypothesis
senate,low documented risk,none,confirm stress on syllable 1 against a dictionary before shadowing,low risk overall,Hypothesis
diplomat,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,say diplomat and diplomatic in sequence to feel the stress shift,third -ic family shift pair alongside economy/economic and democracy/democratic,Hypothesis
diplomatic,"consonant cluster simplification; wrong-syllable stress if -ic shift not applied (Part IV Ch.1 Mistake 4, Ch.2 Mistake 3)","consonant, stress","drill alongside diplomat, exaggerating the stress-shift contrast",third concrete -ic family shift pair in this lexicon,Hypothesis
literature,"connects to Part II Ch.7 (Reduction), same pattern as temperature","vowel, reduction",compare a careful citation form against the natural compressed form,an over-articulated four-syllable version may sound less natural even with correct phonemes,Hypothesis
novel,syllable-final /l/ weakening (Part IV Ch.1 Mistake 5),consonant,"drill final ""-vəl"" maintaining full alveolar contact for /l/",primarily a Pronunciation-band risk,Hypothesis
poetry,diphthong monophthongization (Part IV Ch.5 Mistake 2),vowel,exaggerate the /oʊ/ glide before natural-speed shadowing,primarily a Pronunciation-band risk at this word's frequency,Hypothesis
author,θ→s substitution (Part IV Ch.1 Mistake 1),"consonant, vowel","drill /θ/ tongue-between-teeth explicitly, then the rhotic vowel",very high frequency in Read Aloud/Retell Lecture/Summarize Written Text contexts,Hypothesis
narrative,"coda /v/ risk, extension of Part IV Ch.1 Mistake 2 to coda position, ongoing since comprehensive (Batch 1)",consonant,drill the final /v/ explicitly,further data point for the coda-/v/ pattern,Hypothesis
fiction,"another -tion rule data point, this time with stress already on syllable 1",none,confirm stress on syllable 1 against a dictionary before shadowing,low risk overall,Hypothesis
character,"spelling-based mispronunciation — sixth silent/misleading-letter-pattern example (Greek-origin ""ch""=/k/), alongside process, knowledge, vehicle, psychology","consonant, spelling","verify the ""ch""=/k/ pattern against dictionary IPA before shadowing",a /tʃ/ pronunciation risks the word being misrecognized,Hypothesis
theater,θ→s substitution (Part IV Ch.1 Mistake 1),"consonant, vowel","drill /θ/ tongue-between-teeth explicitly, then the vowel sequence",high frequency in arts-topic Read Aloud content,Hypothesis
performance,consonant cluster simplification (Part IV Ch.1 Mistake 4),"vowel, consonant",drill both rhotic vowels and the final cluster,very high frequency across Essay/Describe Image performance-data contexts,Hypothesis
perform,rhotic-vowel under-production (Part II Ch.3),vowel,drill both rhotic vowels explicitly,low-to-medium risk; primarily a Pronunciation-band item,Hypothesis
exhibition,equal stress (Part IV Ch.2 Mistake 1); another -tion rule data point,stress,"break into syllable groups; confirm stress falls immediately before ""-tion""","related word exhibit shows English ""x"" spelling ambiguity (/gz/ rather than /ks/)",Hypothesis
gallery,low documented risk,none,confirm stress on syllable 1 against a dictionary before shadowing,low risk overall,Hypothesis
sculpture,consonant cluster simplification at two sites (Part IV Ch.1 Mistake 4),consonant,break into smaller sub-sequences before drilling at full speed,this word's dense clusters make it a high-value drilling target,Hypothesis
architecture,"same Greek-origin ""ch""=/k/ pattern as character — seventh spelling-mismatch example","consonant, spelling","verify the ""ch""=/k/ pattern against dictionary IPA before shadowing",a /tʃ/ pronunciation risks the word being misrecognized,Hypothesis
architect,"same Greek-origin ""ch""=/k/ pattern as character/architecture","consonant, spelling","verify the ""ch""=/k/ pattern against dictionary IPA before shadowing",a /tʃ/ pronunciation risks the word being misrecognized,Hypothesis
athlete,θ→s substitution (Part IV Ch.1 Mistake 1),consonant,drill /θ/ tongue-between-teeth explicitly,compare with athletic — fourth -ic family shift pair,Hypothesis
athletic,"θ→s substitution; wrong-syllable stress if -ic shift not applied (Part IV Ch.1 Mistake 1, Ch.2 Mistake 3)","consonant, stress","drill alongside athlete, exaggerating the stress-shift contrast",fourth concrete -ic family shift pair in this lexicon,Hypothesis
championship,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill the final ""-ʃɪp"" cluster without an inserted vowel","second confirmation that -ship does not shift stress, alongside citizenship",Hypothesis
tournament,consonant cluster simplification (Part IV Ch.1 Mistake 4),"vowel, consonant",drill the rhotic vowel and final cluster separately,moderately high frequency in sports-topic Read Aloud content,Hypothesis
stadium,diphthong monophthongization (Part IV Ch.5 Mistake 2),vowel,exaggerate the /eɪ/ glide before natural-speed shadowing,primarily a Pronunciation-band risk at this word's frequency,Hypothesis
spectator,"initial-cluster epenthesis; diphthong monophthongization (Part IV Ch.1 Mistake 4 extended to onset, Ch.5 Mistake 2)","consonant, vowel","drill ""-sp-"", the diphthong, and rhotic vowel as three separate targets",three risk sources in a moderately high-frequency sports-topic word,Hypothesis
leisure,"this lexicon's first /ʒ/ example — Mandarin lacks a direct phonemic equivalent, and this specific substitution pattern is not directly documented in Part IV",consonant,isolate /ʒ/ by contrasting it with /ʃ/ before attempting the full word,a substituted /ʒ/ may or may not obscure the word depending on the substitute chosen; flagged as an open question,Hypothesis
hobby,low documented risk,none,confirm stress on syllable 1 against a dictionary before shadowing,low risk overall,Hypothesis
recreation,"diphthong monophthongization; equal stress (Part IV Ch.5 Mistake 2, Ch.2 Mistake 1)","vowel, stress","break into syllable groups; confirm stress falls immediately before ""-tion""",moderately high frequency in leisure-topic Read Aloud content,Hypothesis
tourism,"z→s devoicing risk (same flagged extension as reasonable, Batch 4)","vowel, consonant",drill the rhotic vowel and /z/ separately,high frequency in travel-topic Read Aloud/Essay content,Hypothesis
tourist,consonant cluster simplification (Part IV Ch.1 Mistake 4),"vowel, consonant",drill the rhotic vowel and final cluster separately,very high frequency in travel-topic Read Aloud/Essay content,Hypothesis
destination,"diphthong monophthongization; equal stress (Part IV Ch.5 Mistake 2, Ch.2 Mistake 1)","vowel, stress","break into syllable groups; confirm stress falls immediately before ""-tion""",very high frequency in travel-topic Read Aloud/Essay content,Hypothesis
accommodation,"a spelling-based over-articulation risk — doubled consonant letters represent a single sound in English; diphthong monophthongization; equal stress (Part IV Ch.5 Mistake 2, Ch.2 Mistake 1)","spelling, vowel, stress","verify the doubled letters (""cc"", ""mm"") each represent one sound, not two",this word's length and unusual spelling make it a high-value drilling target,Hypothesis
itinerary,"diphthong monophthongization; equal stress (Part IV Ch.5 Mistake 2, Ch.2 Mistake 1)","vowel, stress",break into syllable groups; mark stress explicitly before natural-speed shadowing,this word's length makes it a high-value drilling target relative to its frequency,Hypothesis
souvenir,v→w substitution (Part IV Ch.1 Mistake 2); wrong-syllable stress if final-stress pattern not applied,"consonant, stress",drill /v/ explicitly; confirm primary stress lands on the final syllable,compare with entrepreneur (Batch 8) for the same French-origin final-stress pattern,Hypothesis
experiment,"consonant cluster simplification, two sites (Part IV Ch.1 Mistake 4)",consonant,drill the initial and final clusters separately,very high frequency in science-topic Read Aloud/Retell Lecture content,Hypothesis
laboratory,"connects to Part II Ch.7 (Reduction), third data point after temperature, literature","reduction, vowel",compare a careful citation form against the natural compressed form,an over-articulated version may sound less natural even with correct phonemes,Hypothesis
observe,"coda /v/ risk, extension of Part IV Ch.1 Mistake 2; z→s devoicing risk",consonant,drill the final /v/ and medial /z/ separately,compare with observation for the -tion stress shift,Hypothesis
observation,"diphthong monophthongization; equal stress (Part IV Ch.5 Mistake 2, Ch.2 Mistake 1)","vowel, stress",break into syllable groups; confirm stress before -tion,high frequency in science-topic Read Aloud/Retell Lecture content,Hypothesis
sample,syllable-final /l/ weakening; consonant cluster simplification (Part IV Ch.1 Mistakes 4 and 5),consonant,"drill ""-mp-"" and the final ""-pəl"" separately",high frequency in research-methodology content,Hypothesis
survey,"noun/verb stress-shift pattern (Part II Ch.4), joining record/present, increase/decrease, impact, contrast",stress,"drill both stress patterns, contrasting noun vs verb use",a misapplied stress pattern may shift the perceived part of speech,Hypothesis
questionnaire,wrong-syllable stress if final-stress pattern not applied; consonant cluster simplification (Part IV Ch.1 Mistake 4),"stress, consonant",drill the medial cluster; confirm primary stress on the final syllable,compare with entrepreneur and souvenir for the same final-stress loanword pattern,Hypothesis
verify,diphthong monophthongization; v→w substitution risk (Part IV Ch.1 Mistake 2),"vowel, consonant",drill /v/ onset and the final diphthong separately,compare with verification for the -tion stress shift,Hypothesis
verification,"diphthong monophthongization; equal stress (Part IV Ch.5 Mistake 2, Ch.2 Mistake 1)","vowel, stress",break into syllable groups; confirm stress before -tion,fifth concrete -tion shift-from-base-word pair in this lexicon,Hypothesis
replicate,"consonant cluster simplification; diphthong monophthongization (Part IV Ch.1 Mistake 4, Ch.5 Mistake 2)","consonant, vowel","drill ""-pl-"" and the diphthong separately",moderately common in academic/science-topic content,Hypothesis
empirical,syllable-final /l/ weakening (Part IV Ch.1 Mistake 5),consonant,"drill final ""-kəl"" maintaining full alveolar contact for /l/","second -ical family example, joining historical (Batch 7)",Hypothesis
quantitative,"coda /v/ risk, joining cognitive, competitive, narrative; diphthong monophthongization","consonant, vowel",drill the final /v/ explicitly,"minimal-pair companion to qualitative, echoing quantity/quality (Batch 7)",Hypothesis
qualitative,coda /v/ risk,consonant,"drill the final /v/ explicitly, contrasting with quantitative",second coda-/v/ data point in this minimal-pair-style entry,Hypothesis
statistic,"consonant cluster simplification, two sites (Part IV Ch.1 Mistake 4)",consonant,drill both consonant clusters separately,common in Essay/Describe Image data-citation content,Hypothesis
statistics,"consonant cluster simplification, three sites total (Part IV Ch.1 Mistake 4)",consonant,"drill the final ""-ks"" cluster without an inserted vowel",common in academic/education-topic content,Hypothesis
scientist,"diphthong monophthongization; consonant cluster simplification (Part IV Ch.5 Mistake 2, Ch.1 Mistake 4)","vowel, consonant",drill the diphthong and final cluster separately,very high frequency in Read Aloud/Retell Lecture science-topic content,Hypothesis
discovery,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill ""-sk-"" as a continuous sequence",high frequency in science-topic Read Aloud/Retell Lecture content,Hypothesis
discover,consonant cluster simplification; rhotic-vowel under-production,"consonant, vowel","drill ""-sk-"" and the rhotic vowel separately",stress-stability pair alongside manage/management (Batch 6),Hypothesis
invention,another -tion rule data point,none,confirm stress falls immediately before -tion,low risk overall,Hypothesis
invent,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill the final ""-nt"" cluster without an inserted vowel",low risk overall,Hypothesis
breakthrough,θ→s substitution (Part IV Ch.1 Mistake 1); consonant cluster simplification,consonant,"drill /θ/ tongue-between-teeth explicitly, then the medial cluster","another compound-noun-stress example, joining network, software, bandwidth (Batch 8)",Hypothesis
prototype,diphthong monophthongization at two sites (Part IV Ch.5 Mistake 2),vowel,drill both diphthongs separately,common in technology/engineering-topic content,Hypothesis
simulate,"glide-cluster risk, compare regulate (Batch 9); diphthong monophthongization","consonant, vowel",drill the /mj/ glide before the full word,compare with simulation for the -tion stress shift,Hypothesis
simulation,"diphthong monophthongization; equal stress (Part IV Ch.5 Mistake 2, Ch.2 Mistake 1)","vowel, stress",break into syllable groups; confirm stress before -tion,sixth concrete -tion shift-from-base-word pair in this lexicon,Hypothesis
calculate,glide-cluster risk; diphthong monophthongization,"consonant, vowel",drill the /kj/ glide before the full word,compare with calculation for the -tion stress shift,Hypothesis
calculation,"diphthong monophthongization; equal stress (Part IV Ch.5 Mistake 2, Ch.2 Mistake 1)","vowel, stress",break into syllable groups; confirm stress before -tion,seventh concrete -tion shift-from-base-word pair in this lexicon,Hypothesis
measurement,"/ʒ/ substitution risk, second data point after leisure (Batch 9); consonant cluster simplification",consonant,isolate /ʒ/ by contrasting it with /ʃ/ before the full word,see leisure's entry for the same open question on /ʒ/ substitution,Hypothesis
measure,"/ʒ/ substitution risk, third data point after leisure and measurement",consonant,isolate /ʒ/ before drilling the full word,"compare with measurement, same root, same /ʒ/ target",Hypothesis
assess,low documented risk; high-frequency academic word,none,confirm stress on syllable 2 against a dictionary before shadowing,low risk overall,Hypothesis
assessment,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill the final ""-smənt"" cluster without an inserted vowel",very high frequency across education/PTE-topic content,Hypothesis
household,diphthong monophthongization at two sites (Part IV Ch.5 Mistake 2),vowel,drill both diphthongs separately,"another compound-noun-stress example, joining network/bandwidth (Batch 8) and breakthrough",Hypothesis
family,"connects to Part II Ch.7 (Reduction), fourth data point after temperature, literature, laboratory",reduction,compare a careful citation form against the natural compressed form,an over-articulated three-syllable version may sound less natural even with correct phonemes,Hypothesis
relative,"coda /v/ risk, extension of Part IV Ch.1 Mistake 2",consonant,drill the final /v/ explicitly,further data point for the coda-/v/ pattern,Hypothesis
sibling,velar nasal /ŋ/ reduced to /n/ — first flagged example of this mechanism in this lexicon,consonant,isolate /ŋ/ by contrasting it explicitly with /n/ before the full word,"an /n/ substitution for /ŋ/ may reduce recognition confidence on this short, high-frequency word",Hypothesis
parent,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,drill the rhotic vowel and final cluster together,very high frequency in family/education-topic content,Hypothesis
spouse,initial-cluster epenthesis (Part IV Ch.1 Mistake 4 extended to onset); diphthong monophthongization,"consonant, vowel","drill ""-sp-"" and the diphthong separately",two compounding error-prone segments in a short word,Hypothesis
marriage,word-final consonant deletion/epenthesis on a single final consonant (Part IV Ch.1 Mistake 3),consonant,drill the final /dʒ/ closure without an inserted vowel,low-to-medium risk; short word with a clear final-consonant target,Hypothesis
divorce,v→w substitution (Part IV Ch.1 Mistake 2),consonant,"drill /v/ against /w/ explicitly, then the rhotic vowel",primarily a Pronunciation-band risk at this word's frequency,Hypothesis
childhood,diphthong monophthongization; consonant cluster simplification,"vowel, consonant",drill the diphthong and medial cluster separately,"another compound-noun-stress example, joining household",Hypothesis
elderly,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill ""-ld-"" and the rhotic vowel separately",common in health/social-topic Essay content,Hypothesis
guardian,rhotic-vowel under-production (Part II Ch.3),vowel,drill the rhotic vowel explicitly,low risk; primarily a Pronunciation-band item,Hypothesis
upbringing,"velar nasal /ŋ/ reduced to /n/, second data point after sibling, at two syllable positions; consonant cluster simplification",consonant,isolate both /ŋ/ instances before drilling the full word,two /ŋ/ targets in one word make this a high-value drilling target,Hypothesis
ancestor,"consonant cluster simplification, two sites (Part IV Ch.1 Mistake 4)",consonant,drill both medial clusters separately,moderate frequency in history/family-topic content,Hypothesis
descendant,"consonant cluster simplification, two sites (Part IV Ch.1 Mistake 4)",consonant,drill both clusters separately,compare with ancestor as a related pair,Hypothesis
diet,diphthong monophthongization (Part IV Ch.5 Mistake 2),vowel,exaggerate the /aɪ/ glide before natural-speed shadowing,high frequency in health-topic Essay content,Hypothesis
appetite,diphthong monophthongization (Part IV Ch.5 Mistake 2),vowel,exaggerate the final /aɪ/ glide before natural-speed shadowing,primarily a Pronunciation-band risk at this word's frequency,Hypothesis
allergy,rhotic-vowel under-production (Part II Ch.3),vowel,drill the rhotic vowel and medial cluster together,common in health-topic content,Hypothesis
therapy,θ→s substitution (Part IV Ch.1 Mistake 1),"consonant, vowel","drill /θ/ tongue-between-teeth explicitly, then the rhotic vowel",compare with therapist — stress does not move,Hypothesis
therapist,"θ→s substitution; consonant cluster simplification (Part IV Ch.1 Mistake 1, Mistake 4)",consonant,drill /θ/ and the final cluster separately,compare with therapy to confirm shared stress,Hypothesis
hospital,syllable-final /l/ weakening; consonant cluster simplification (Part IV Ch.1 Mistakes 4 and 5),consonant,"drill ""-sp-"" and the final ""-təl"" separately",very high frequency in health-topic content,Hypothesis
clinic,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill ""-kl-"" as a continuous sequence",common in health-topic Read Aloud content,Hypothesis
patient,diphthong monophthongization (Part IV Ch.5 Mistake 2),vowel,exaggerate the /eɪ/ glide before natural-speed shadowing,"a homograph with identical pronunciation across both meanings, contrast with survey's noun/verb stress shift",Hypothesis
physician,"spelling ""ph""=/f/ pattern (generally low risk); z→s devoicing risk","spelling, consonant","confirm the ""ph""=/f/ spelling and drill the medial /z/","first -cian example in this lexicon, showing the -tion rule extends to this suffix spelling",Hypothesis
surgeon,rhotic-vowel under-production (Part II Ch.3),vowel,drill the rhotic vowel explicitly,low-to-medium risk; primarily a Pronunciation-band item,Hypothesis
prescription,"consonant cluster simplification, dense cluster (compare sculpture, Batch 9)",consonant,"break ""-skr-"" into smaller sub-sequences before drilling at full speed",this word's dense initial cluster makes it a high-value drilling target,Hypothesis
medication,"diphthong monophthongization; equal stress (Part IV Ch.5 Mistake 2, Ch.2 Mistake 1)","vowel, stress",break into syllable groups; confirm stress before -tion,very high frequency in health-topic content,Hypothesis
recovery,low documented risk,none,confirm stress on syllable 2 against a dictionary before shadowing,common in health/economics-topic content,Hypothesis
rehabilitation,"equal stress, an extreme case given word length (Part IV Ch.2 Mistake 1); diphthong monophthongization","stress, vowel",break into syllable groups; mark all three stress levels before natural-speed shadowing,this word's exceptional length makes it the highest-value drilling target in this batch for the equal-stress risk,Hypothesis
wellness,low documented risk,none,confirm stress on syllable 1 against a dictionary before shadowing,low risk overall,Hypothesis
hygiene,"diphthong monophthongization; spelling-based risk (final ""-ene"" does not sound as its letters might suggest)","vowel, spelling","exaggerate the /aɪ/ glide, then confirm the final syllable against a dictionary",a related but distinct case from the silent-letter thread tracked elsewhere in this lexicon,Hypothesis
airport,"rhotic-vowel under-production, two sites (Part II Ch.3)",vowel,drill both rhotic vowels separately,"a compound-noun-stress example, joining network, bandwidth (Batch 8)",Hypothesis
passenger,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,drill the medial cluster and rhotic vowel separately,high frequency in travel-topic Read Aloud content,Hypothesis
luggage,word-final consonant deletion/epenthesis on a single final consonant (Part IV Ch.1 Mistake 3),consonant,drill the final /dʒ/ closure without an inserted vowel,low-to-medium risk; short word with a clear final-consonant target,Hypothesis
departure,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,drill the rhotic vowel and medial cluster together,high frequency in travel-topic content,Hypothesis
arrival,"diphthong monophthongization; syllable-final /l/ weakening (Part IV Ch.5 Mistake 2, Ch.1 Mistake 5)","vowel, consonant","drill the diphthong and final ""-vəl"" separately",high frequency in travel-topic content,Hypothesis
boarding,"velar nasal /ŋ/ reduced to /n/, third data point after sibling, upbringing (Batch 10)",consonant,isolate /ŋ/ by contrasting it with /n/ before the full word,compare with sibling and upbringing for the same /ŋ/ target,Hypothesis
terminal,syllable-final /l/ weakening (Part IV Ch.1 Mistake 5),consonant,"drill the rhotic vowel and final ""-nəl"" together",common in travel-topic Read Aloud content,Hypothesis
customs,"consonant cluster simplification, two sites (Part IV Ch.1 Mistake 4)",consonant,drill both consonant clusters separately,distinct from the singular custom (tradition) — a meaning caution,Hypothesis
immigration,"diphthong monophthongization; equal stress (Part IV Ch.5 Mistake 2, Ch.2 Mistake 1)","vowel, stress",break into syllable groups; confirm stress before -tion,moderately high frequency in travel/politics-topic content,Hypothesis
passport,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill ""-sp-"" and the rhotic vowel together","a compound-noun-stress example, joining airport",Hypothesis
transit,consonant cluster simplification; z→s devoicing risk (Part IV Ch.1 Mistake 4),consonant,"drill ""-tr-"" and the medial /z/ separately",common in travel/urban-planning-topic content,Hypothesis
delay,diphthong monophthongization (Part IV Ch.5 Mistake 2),vowel,exaggerate the /eɪ/ glide before natural-speed shadowing,very high frequency in travel-topic content,Hypothesis
route,"GA-vs-variant caution, not a true error — joins finance/financial, vaccine, advertisement, controversial",vowel,confirm which variant your source dictionary lists before drilling,both pronunciations are attested in GA dictionaries; either should be acceptable,Hypothesis
traffic,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill ""-tr-"" as a continuous sequence",distinct from trafficking (illegal trade) — a meaning caution,Hypothesis
congestion,"consonant cluster simplification, dense cluster (Part IV Ch.1 Mistake 4)",consonant,break the dense medial cluster into smaller sub-sequences,this word's dense cluster makes it a high-value drilling target,Hypothesis
weather,ð→d/z substitution — second explicit medial-/ð/ example after algorithm (Batch 7),consonant,"drill /ð/ tongue-between-teeth explicitly, then the rhotic vowel",very high frequency across nearly all Read Aloud/Essay topics,Hypothesis
forecast,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,drill the rhotic vowel and final cluster together,another compound-noun-stress example,Hypothesis
humidity,equal stress (Part IV Ch.2 Mistake 1); glide-cluster risk,"stress, consonant","drill the /hj/ glide, then confirm stress falls before -ity","fifth -ity family data point, after sustainability, biodiversity (Batch 7) and connectivity (Batch 8)",Hypothesis
precipitation,"consonant cluster simplification; diphthong monophthongization; equal stress (Part IV Ch.1 Mistake 4, Ch.5 Mistake 2, Ch.2 Mistake 1)","consonant, vowel, stress",break into syllable groups; confirm stress before -tion,this word's length and cluster make it a high-value drilling target,Hypothesis
drought,"consonant cluster simplification; diphthong monophthongization (Part IV Ch.1 Mistake 4, Ch.5 Mistake 2)","consonant, vowel","drill ""-dr-"" and the diphthong together",common in environment-topic Essay content,Hypothesis
flood,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill ""-fl-"" as a continuous sequence",common in environment-topic content,Hypothesis
hurricane,rhotic-vowel under-production; diphthong monophthongization,vowel,drill the rhotic vowel and final diphthong separately,common in environment/news-topic content,Hypothesis
thunderstorm,θ→s substitution (Part IV Ch.1 Mistake 1); consonant cluster simplification,consonant,break the dense medial cluster into smaller sub-sequences,another compound-noun-stress example,Hypothesis
wind,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill the final ""-nd"" cluster without an inserted vowel",common in weather-topic content,Hypothesis
rainfall,"diphthong monophthongization; syllable-final /l/ weakening (Part IV Ch.5 Mistake 2, Ch.1 Mistake 5)","vowel, consonant","drill the diphthong and final ""-fɔːl"" separately",another compound-noun-stress example,Hypothesis
storm,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill ""-st-"" and the rhotic vowel together",common in weather-topic content,Hypothesis
disaster,"z→s devoicing risk (same flagged extension as reasonable, Batch 4)",consonant,drill medial /z/ and the rhotic vowel separately,common in environment/news-topic content,Hypothesis
earthquake,"θ→s substitution; diphthong monophthongization (Part IV Ch.1 Mistake 1, Ch.5 Mistake 2)","consonant, vowel",break /θkw/ into smaller sub-sequences before drilling at full speed,"another compound-noun-stress example, with a dense /θkw/ onset cluster at the seam",Hypothesis
wildfire,diphthong monophthongization at two sites; consonant cluster simplification,"vowel, consonant",drill both diphthongs and the medial cluster,another compound-noun-stress example,Hypothesis
tornado,diphthong monophthongization at two sites (Part IV Ch.5 Mistake 2),vowel,drill the rhotic vowel and both diphthongs,common in environment/news-topic content,Hypothesis
interview,"glide-cluster risk, joining regulate, simulate, calculate (Batches 9-10)",consonant,drill the /vj/ glide before the full word,very high frequency in employment-topic content,Hypothesis
resume,"heteronym caution — same spelling, unrelated words, distinct from noun/verb stress-shift pairs like survey (Batch 10)",stress,"drill both pronunciations separately, tied to their distinct meanings","the wrong pronunciation for context may register as a different, unintended word",Hypothesis
application,"diphthong monophthongization; equal stress (Part IV Ch.5 Mistake 2, Ch.2 Mistake 1)","vowel, stress",break into syllable groups; confirm stress before -tion,very high frequency across employment and technology-topic content,Hypothesis
promotion,"diphthong monophthongization; consonant cluster simplification (Part IV Ch.5 Mistake 2, Ch.1 Mistake 4)","vowel, consonant","drill ""-pr-"" and the diphthong separately",high frequency in employment/marketing-topic content,Hypothesis
recruit,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill ""-kr-"" as a continuous sequence",common in employment-topic content,Hypothesis
recruitment,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill the final ""-tmənt"" cluster without an inserted vowel",common in employment/HR-topic content,Hypothesis
onboarding,"velar nasal /ŋ/ reduced to /n/, fourth data point after sibling, upbringing, boarding",consonant,isolate /ŋ/ before drilling the full word,a modern business-English compound; recent enough that AI training data coverage may vary,Hypothesis
teamwork,rhotic-vowel under-production (Part II Ch.3),vowel,drill the rhotic vowel explicitly,another compound-noun-stress example,Hypothesis
freelance,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill the final ""-ns"" cluster without an inserted vowel",increasingly common in employment-topic content,Hypothesis
remote,diphthong monophthongization (Part IV Ch.5 Mistake 2),vowel,exaggerate the /oʊ/ glide before natural-speed shadowing,high frequency in modern employment-topic content,Hypothesis
overtime,diphthong monophthongization at two sites (Part IV Ch.5 Mistake 2),vowel,drill both diphthongs separately,another compound-noun-stress example,Hypothesis
appraisal,"consonant cluster simplification; diphthong monophthongization; syllable-final /l/ weakening (Part IV Ch.1 Mistakes 4 and 5, Ch.5 Mistake 2)","consonant, vowel","drill ""-pr-"", the diphthong, and final ""-zəl"" as three separate targets",three risk sources in a moderately common workplace-topic word,Hypothesis
feedback,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill ""-db-"" as a continuous sequence",very high frequency across education/employment-topic content,Hypothesis
mentor,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill ""-nt-"" and the rhotic vowel together",common in education/employment-topic content,Hypothesis
internship,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,drill the dense medial region and rhotic vowel together,"third confirmation that -ship is stress-neutral, after citizenship, championship (Batch 9)",Hypothesis
password,consonant cluster simplification (Part IV Ch.1 Mistake 4),consonant,"drill ""-sw-"" and the rhotic vowel together",another compound-noun-stress example,Hypothesis
username,z→s devoicing risk; diphthong monophthongization,"consonant, vowel",drill the medial /z/ and diphthong separately,another compound-noun-stress example,Hypothesis
upload,diphthong monophthongization (Part IV Ch.5 Mistake 2),vowel,exaggerate the /oʊ/ glide before natural-speed shadowing,compare with download — its stress is more consistently front-loaded,Hypothesis
