word,pte_frequency_rating,question_types,basis,source
overtime,Medium,"Read Aloud, Essay",author judgment: common careers/workplace-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
appraisal,Medium,"Read Aloud, Essay",author judgment: common careers/workplace-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
feedback,Very High,"Read Aloud, Essay",author judgment: common careers/workplace-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
mentor,Medium-High,"Read Aloud, Essay",author judgment: common careers/workplace-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
internship,Medium-High,"Read Aloud, Essay",author judgment: common careers/workplace-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
password,High,"Read Aloud, Essay",author judgment: common technology/internet-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
username,Medium-High,"Read Aloud, Essay",author judgment: common technology/internet-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
upload,High,"Read Aloud, Essay",author judgment: common technology/internet-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
download,High,"Read Aloud, Essay",author judgment: common technology/internet-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
browser,Medium-High,"Read Aloud, Essay",author judgment: common technology/internet-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
website,Very High,"Read Aloud, Essay",author judgment: common technology/internet-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
encryption,Low-Medium,"Read Aloud, Essay",author judgment: common technology/internet-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
cybersecurity,Medium,"Read Aloud, Essay",author judgment: common technology/internet-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
malware,Low-Medium,"Read Aloud, Essay",author judgment: common technology/internet-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
firewall,Low-Medium,"Read Aloud, Essay",author judgment: common technology/internet-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
cloud,Medium-High,"Read Aloud, Essay",author judgment: common technology/internet-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
streaming,High,"Read Aloud, Essay",author judgment: common technology/internet-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
subscription,Medium-High,"Read Aloud, Essay",author judgment: common technology/internet-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
app,Very High,"Read Aloud, Essay",author judgment: common technology/internet-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
notification,Medium-High,"Read Aloud, Essay",author judgment: common technology/internet-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
anxious,High,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
anxiety,Medium-High,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
confident,Very High,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
confidence,Very High,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
enthusiastic,High,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
enthusiasm,Medium-High,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
curious,High,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
curiosity,Medium-High,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
ambitious,High,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
ambition,High,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
humble,Medium,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
humility,Low-Medium,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
optimistic,High,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
optimism,Medium-High,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
resilient,Medium,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
resilience,Medium,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
empathy,Medium-High,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
empathetic,Medium,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
gratitude,Medium,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
grateful,High,"Read Aloud, Essay",author judgment: common emotions/personality-topic Read Aloud vocabulary,Practice — not from a verified PTE frequency list
